hanzi	traduccion_ming
墨西哥	México
意大利语	idioma italiano
做饭	cocinar; preparar la comida
画画	dibujar; pintar
一点儿	un poco
厉害	impresionante; muy hábil
普通话	mandarín estándar
方言	dialecto; variedad regional de una lengua
面条	fideos; tallarines
炸猪肉面包	pan con carne de cerdo frita
肉夹馍	pan chino relleno de carne
爱	amar; querer mucho
寿司	sushi
筷子	palillos para comer
用	usar; utilizar
印加可乐	Inca Kola
果汁	jugo de fruta
家人	familiares; miembros de la familia
卡片	tarjeta
可爱	tierno; adorable
大学	universidad
上课	asistir a clase; dar clase
现在	ahora; en este momento
工人	obrero; trabajador
工作日	día laborable
多大	qué edad; qué tamaño
岁数	edad; número de años de edad
地图	mapa
小孩子	niño pequeño; niños pequeños
昨天	ayer
明天	mañana
炒饭	arroz frito
阿根廷	Argentina
学院	instituto; facultad
餐厅	restaurante; comedor
系	departamento universitario
去	ir
找	buscar
看书	leer un libro; leer
看电影	ver una película
电影	película; cine
唱歌	cantar
一	uno
二	dos
三	tres
四	cuatro
五	cinco
六	seis
七	siete
八	ocho
九	nueve
十	diez
百	cien
千	mil
张华	Zhang Hua; nombre propio
多少	cuánto; cuántos
大卫	Dawei; nombre propio
俄罗斯人	ruso; persona de Rusia
西安	Xi'an
广州	Guangzhou; Cantón
北京烤鸭	pato laqueado de Pekín
您好	hola; saludo respetuoso a usted
你们好	hola a todos; saludo a varias personas
晚安	buenas noches; saludo de despedida antes de dormir
刚到	acabar de llegar
这是	este es; esta es; esto es
那是	ese es; esa es; aquello es
您贵姓	¿cuál es su apellido?; pregunta respetuosa
哪国人	de qué país; de qué nacionalidad
宋	Song; apellido
力波	Libo; nombre propio
大为	Dawei; nombre propio
小云	Xiaoyun; nombre propio
可以	poder; estar permitido
死	morir; en 累死了, intensifica el cansancio
了	partícula que indica, según el contexto, un cambio de situación o una acción completada
手	mano
王	Wang; apellido
陆	Lu; apellido
这儿	aquí
说	hablar; decir
那儿	allí; allá
梅西	Messi; nombre propio
一下	un momento; un poco; suaviza una petición
本	clasificador de libros
酒	bebida alcohólica
孔子学院	Instituto Confucio
二十	veinte
小猫	gatito; gato pequeño
吃饭	comer; tomar una comida
李	Li; apellido
大家	todos; todo el mundo
张王冉	Zhang Wangran; nombre propio
三十	treinta
二十五	veinticinco
七十五	setenta y cinco
上	asistir a; tomar, en 上课
孩子们	los niños
成龙	Cheng Long; nombre propio
巩俐	Gong Li; nombre propio
姚明	Yao Ming; nombre propio
马云	Ma Yun; nombre propio
林	Lin; apellido
班	clase; grupo de estudiantes
玛丽	Mali; nombre propio
上午	por la mañana; antes del mediodía
北京人	persona de Pekín
美国人	estadounidense
哥哥，还	hermano mayor, además…
咖啡，还	café, además…
马大为，还	Ma Dawei, además…
汉语课，还	clase de chino, además…
丁，叫	Ding, se llama…
宋华。认识	Song Hua. Conocer…
同学，你们	compañero de clase, ustedes…
好！我	¡Bien! Yo…
林娜。请问，你	Lin Na. Disculpa, tú…
