hanzi	pinyin_ming
我是大学老师。	Wǒ shì dàxué lǎoshī.
你在做什么？	Nǐ zài zuò shénme?
我在学汉语。	Wǒ zài xué Hànyǔ.
他在吃饭。	Tā zài chī fàn.
我们在上课。	Wǒmen zài shàng kè.
弟弟在喝水。	Dìdi zài hē shuǐ.
我现在没有工作。	Wǒ xiànzài méiyǒu gōngzuò.
我也没有工作。	Wǒ yě méiyǒu gōngzuò.
我是医生。	Wǒ shì yīshēng.
我家一共有五口人。	Wǒ jiā yígòng yǒu wǔ kǒu rén.
王小云家有几口人？	Wáng Xiǎoyún jiā yǒu jǐ kǒu rén?
王小云有弟弟吗？	Wáng Xiǎoyún yǒu dìdi ma?
王小云的爸爸妈妈做什么工作？	Wáng Xiǎoyún de bàba māma zuò shénme gōngzuò?
林娜家有几口人？他们是谁？	Lín Nà jiā yǒu jǐ kǒu rén? Tāmen shì shéi?
贝贝是谁？	Bèibei shì shéi?
我有一个哥哥。	Wǒ yǒu yí ge gēge.
她没有妹妹。	Tā méiyǒu mèimei.
你们家有小狗吗？	Nǐmen jiā yǒu xiǎogǒu ma?
我的工作	Wǒ de gōngzuò
我们家的照片	Wǒmen jiā de zhàopiàn
他的朋友	Tā de péngyou
我妈妈	Wǒ māma
你女儿	Nǐ nǚ'ér
他们家	Tāmen jiā
我有一只可爱的小狗。	Wǒ yǒu yì zhī kě'ài de xiǎogǒu.
我有一个很有意思的朋友。	Wǒ yǒu yí ge hěn yǒuyìsi de péngyou.
他有三个很好的朋友。	Tā yǒu sān ge hěn hǎo de péngyou.
一张我的照片	Yì zhāng wǒ de zhàopiàn
一张cuzco的照片	Yì zhāng cuzco de zhàopiàn
一张汉语的名片	Yì zhāng Hànyǔ de míngpiàn
一个很小的学院	Yí ge hěn xiǎo de xuéyuàn
一个很大的餐厅	Yí ge hěn dà de cāntīng
这儿有一个很有名的大学。	Zhèr yǒu yí ge hěn yǒumíng de dàxué.
王老师是一个很好的老师。	Wáng lǎoshī shì yí ge hěn hǎo de lǎoshī.
我认识一个很帅的男生。	Wǒ rènshi yí ge hěn shuài de nánshēng.
你叫什么？	Nǐ jiào shénme?
你是谁？	Nǐ shì shéi?
那是谁？	Nà shì shéi?
老师在哪儿？	Lǎoshī zài nǎr?
你们去哪儿？	Nǐmen qù nǎr?
你去哪一个餐厅？	Nǐ qù nǎ yí ge cāntīng?
你要哪一张照片？	Nǐ yào nǎ yì zhāng zhàopiàn?
那儿有两个老师，哪一个是李老师？	Nàr yǒu liǎng ge lǎoshī, nǎ yí ge shì Lǐ lǎoshī?
你要哪两张照片？	Nǐ yào nǎ liǎng zhāng zhàopiàn?
大学有几个系？	Dàxué yǒu jǐ ge xì?
你有几张照片？	Nǐ yǒu jǐ zhāng zhàopiàn?
哪一个是张老师？	Nǎ yí ge shì Zhāng lǎoshī?
那儿有十个人，哪3个是中国人？	Nàr yǒu shí ge rén, nǎ sān ge shì Zhōngguó rén?
我有两张名片，一张是西班牙语，一张是英语。	Wǒ yǒu liǎng zhāng míngpiàn, yì zhāng shì Xībānyáyǔ, yì zhāng shì Yīngyǔ.
你要哪一张名片？	Nǐ yào nǎ yì zhāng míngpiàn?
你有几个朋友？	Nǐ yǒu jǐ ge péngyou?
我有一个朋友。	Wǒ yǒu yí ge péngyou.
你认识几个老师？	Nǐ rènshi jǐ ge lǎoshī?
我认识两个老师。	Wǒ rènshi liǎng ge lǎoshī.
你吃几个包子？	Nǐ chī jǐ ge bāozi?
我吃三个包子。	Wǒ chī sān ge bāozi.
大家好，我叫张王冉，我是中国人，我是汉语老师，我在秘鲁工作，我很喜欢我的工作。	Dàjiā hǎo, wǒ jiào Zhāng Wángrǎn, wǒ shì Zhōngguó rén, wǒ shì Hànyǔ lǎoshī, wǒ zài Bìlǔ gōngzuò, wǒ hěn xǐhuan wǒ de gōngzuò.
这儿有一张我家的照片，我家一共有三口人，我们都是中国人。	Zhèr yǒu yì zhāng wǒ jiā de zhàopiàn, wǒ jiā yígòng yǒu sān kǒu rén, wǒmen dōu shì Zhōngguó rén.
我妈妈是医生，我姐姐是老师。	Wǒ māma shì yīshēng, wǒ jiějie shì lǎoshī.
我妈妈喜欢看书，我姐姐喜欢看电影，我喜欢唱歌。	Wǒ māma xǐhuan kàn shū, wǒ jiějie xǐhuan kàn diànyǐng, wǒ xǐhuan chàng gē.
我很爱我的家人。	Wǒ hěn ài wǒ de jiārén.
我18岁	Wǒ shíbā suì
今年是2026年。	Jīnnián shì èr líng èr liù nián.
今年是马年。	Jīnnián shì mǎnián.
真好	Zhēn hǎo
真好吃！	Zhēn hǎochī!
真漂亮！	Zhēn piàoliang!
你女儿真漂亮！	Nǐ nǚ'ér zhēn piàoliang!
她有一个女儿和一个儿子。	Tā yǒu yí ge nǚ'ér hé yí ge érzi.
小孩子很可爱。	Xiǎo háizi hěn kě'ài.
我不认识这个孩子。	Wǒ bú rènshi zhè ge háizi.
他有两个孩子，一个女儿，一个儿子。	Tā yǒu liǎng ge háizi, yí ge nǚ'ér, yí ge érzi.
我不会，你呢？	Wǒ bú huì, nǐ ne?
我会。	Wǒ huì.
弹钢琴	Tán gāngqín
我喜欢上汉语课！	Wǒ xǐhuan shàng Hànyǔ kè!
我爱上汉语课！	Wǒ ài shàng Hànyǔ kè!
她真漂亮。	Tā zhēn piàoliang.
今天我有汉语课。	Jīntiān wǒ yǒu Hànyǔ kè.
你要喝茶吗？	Nǐ yào hē chá ma?
我女儿今年五岁。	Wǒ nǚ'ér jīnnián wǔ suì.
这个孩子很好。	Zhè ge háizi hěn hǎo.
今天晚上我学习英语。	Jīntiān wǎnshang wǒ xuéxí Yīngyǔ.
孩子们学钢琴。	Háizimen xué gāngqín.
今天我没有课。	Jīntiān wǒ méiyǒu kè.
那是我哥哥。	Nà shì wǒ gēge.
王小云喜欢吃点心。	Wáng Xiǎoyún xǐhuan chī diǎnxin.
谁喜欢吃点心？	Shéi xǐhuan chī diǎnxin?
这是林娜的照片。	Zhè shì Lín Nà de zhàopiàn.
这是谁的照片？	Zhè shì shéi de zhàopiàn?
我们家有六口人。	Wǒmen jiā yǒu liù kǒu rén.
她今年五岁。	Tā jīnnián wǔ suì.
她今年几岁？	Tā jīnnián jǐ suì?
她是我妹妹。	Tā shì wǒ mèimei.
我们家一共有六口人。	Wǒmen jiā yígòng yǒu liù kǒu rén.
马大为喜欢喝茶。	Mǎ Dàwéi xǐhuan hē chá.
这是我的小狗。	Zhè shì wǒ de xiǎogǒu.
林娜有两个姐姐。	Lín Nà yǒu liǎng ge jiějie.
他有三张照片。	Tā yǒu sān zhāng zhàopiàn.
我有两个姐姐，还有一个哥哥。	Wǒ yǒu liǎng ge jiějie, hái yǒu yí ge gēge.
马大为是哪国人？	Mǎ Dàwéi shì nǎ guó rén?
马大为有姐姐吗？	Mǎ Dàwéi yǒu jiějie ma?
约翰（John）今年几岁？	Yuēhàn (John) jīnnián jǐ suì?
马大为的爸爸做什么工作？他妈妈呢？	Mǎ Dàwéi de bàba zuò shénme gōngzuò? Tā māma ne?
陈老师是谁？	Chén lǎoshī shì shéi?
马大为有几个中国朋友？	Mǎ Dàwéi yǒu jǐ ge Zhōngguó péngyou?
他叫宋华，他是中国人。	Tā jiào Sòng Huá, tā shì Zhōngguó rén.
他们家有三口人，爸爸、妈妈和他。	Tāmen jiā yǒu sān kǒu rén, bàba, māma hé tā.
他爸爸是医生，妈妈是老师。	Tā bàba shì yīshēng, māma shì lǎoshī.
他是学生。	Tā shì xuésheng.
他喜欢吃饺子。	Tā xǐhuan chī jiǎozi.
他很忙。	Tā hěn máng.
他忙吗？	Tā máng ma?
他叫马大为，他叫丁力波，她叫林娜。	Tā jiào Mǎ Dàwéi, tā jiào Dīng Lìbō, tā jiào Lín Nà.
大为很好，丁力波很忙，林娜不太忙，她也很好。	Dàwéi hěn hǎo, Dīng Lìbō hěn máng, Lín Nà bú tài máng, tā yě hěn hǎo.
马大为好吗？	Mǎ Dàwéi hǎo ma?
林娜怎么样？	Lín Nà zěnmeyàng?
丁力波忙吗？	Dīng Lìbō máng ma?
他叫成龙，她叫巩俐。	Tā jiào Chéng Lóng, tā jiào Gǒng Lì.
成龙很忙。巩俐也很忙。	Chéng Lóng hěn máng. Gǒng Lì yě hěn máng.
姚明怎么样？姚明也很忙。	Yáo Míng zěnmeyàng? Yáo Míng yě hěn máng.
他叫什么名字？他叫马云。	Tā jiào shénme míngzi? Tā jiào Mǎ Yún.
马云忙吗？马云很忙。	Mǎ Yún máng ma? Mǎ Yún hěn máng.
米饭和面条儿	Mǐfàn hé miàntiáor
我也学习汉语。	Wǒ yě xuéxí Hànyǔ.
我爸爸妈妈都是上海人。	Wǒ bàba māma dōu shì Shànghǎi rén.
我叫丁力波，我是加拿大人。	Wǒ jiào Dīng Lìbō, wǒ shì Jiānádà rén.
这是马大为，他是我朋友，他是美国人。	Zhè shì Mǎ Dàwéi, tā shì wǒ péngyou, tā shì Měiguó rén.
那是林娜，她也是我朋友，她是英国人。	Nà shì Lín Nà, tā yě shì wǒ péngyou, tā shì Yīngguó rén.
我和大为、林娜都学习汉语。	Wǒ hé Dàwéi, Lín Nà dōu xuéxí Hànyǔ.
我姓林，叫林娜。	Wǒ xìng Lín, jiào Lín Nà.
这是宋华，他是我朋友。	Zhè shì Sòng Huá, tā shì wǒ péngyou.
宋华是北京人，喜欢吃饺子和面条儿。	Sòng Huá shì Běijīng rén, xǐhuan chī jiǎozi hé miàntiáor.
我也喜欢吃饺子，饺子很好吃。	Wǒ yě xǐhuan chī jiǎozi, jiǎozi hěn hǎochī.
那是陈老师，她是我们老师。	Nà shì Chén lǎoshī, tā shì wǒmen lǎoshī.
陈老师是上海人，她喜欢吃点心。	Chén lǎoshī shì Shànghǎi rén, tā xǐhuan chī diǎnxin.
我没有妹妹。	Wǒ méiyǒu mèimei.
这是我们家的照片。	Zhè shì wǒmen jiā de zhàopiàn.
这张照片真漂亮！	Zhè zhāng zhàopiàn zhēn piàoliang!
晚上她还有英语课。	Wǎnshang tā hái yǒu Yīngyǔ kè.
他们有孩子。	Tāmen yǒu háizi.
小云晚上有英语课。	Xiǎoyún wǎnshang yǒu Yīngyǔ kè.
我们家有小狗。	Wǒmen jiā yǒu xiǎogǒu.
林娜家有贝贝的照片。	Lín Nà jiā yǒu Bèibei de zhàopiàn.
陆雨平的女儿	Lù Yǔpíng de nǚ'ér
我们班有十个人。	Wǒmen bān yǒu shí ge rén.
那个朋友	Nà ge péngyou
我们家有四口人。	Wǒmen jiā yǒu sì kǒu rén.
你叫什么名字？你是哪国人？	Nǐ jiào shénme míngzi? Nǐ shì nǎ guó rén?
你们家有几口人？他们做什么工作？	Nǐmen jiā yǒu jǐ kǒu rén? Tāmen zuò shénme gōngzuò?
