hanzi	traduccion_ming
你好！	¡Hola!
我叫马大为。请问，你叫什么名字？	Me llamo Ma Dawei. Disculpa, ¿cómo te llamas?
我姓宋，叫宋华。	Mi apellido es Song y me llamo Song Hua.
认识你很高兴。	Me alegra conocerte.
认识你我也很高兴。	A mí también me alegra conocerte.
请问，林娜在吗？	Disculpa, ¿está Lin Na?
在。力波，请进，请坐。	Sí, está. Libo, pasa, por favor, y siéntate.
谢谢。你最近怎么样？	Gracias. ¿Cómo has estado últimamente?
我很好。你呢？	Estoy muy bien. ¿Y tú?
我很忙。你忙吗？	Estoy muy ocupado. ¿Tú estás ocupado?
我不太忙。大为好吗？	No estoy muy ocupado. ¿Dawei está bien?
他也很好。	Él también está muy bien.
老师，早上好！	¡Buenos días, profe!
你们好！	¡Hola a todos!
这是马大为，他是我朋友，刚到北京。	Este es Ma Dawei, es mi amigo y acaba de llegar a Pekín.
您好！老师，您贵姓？	¡Hola! Profe, ¿cuál es su apellido?
我姓陈。你是哪国人？	Mi apellido es Chen. ¿De qué país eres?
我是美国人。我也学习汉语。陈老师，认识您很高兴。	Soy estadounidense. Yo también estudio chino. Profe Chen, me alegra conocerle.
老师，再见！	¡Adiós, profe!
再见！	¡Adiós!
小云，这是什么？	Xiaoyun, ¿qué es esto?
这是点心。	Esto es un bocadillo.
点心好吃吗？	¿Los bocadillos están ricos?
好吃。我爸爸是上海人，他喜欢吃点心和米饭。	Sí, están ricos. Mi papá es de Shanghái; le gusta comer bocadillos y arroz.
北京人喜欢吃什么？	¿Qué les gusta comer a las personas de Pekín?
我妈妈是北京人，她喜欢吃面条儿和饺子。	Mi mamá es de Pekín; le gusta comer fideos y jiaozi.
这是饺子吗？	¿Esto es jiaozi?
这不是饺子，是包子。包子大，饺子小。你看，那是饺子。	Esto no es jiaozi, es baozi. Los baozi son grandes y los jiaozi son pequeños. Mira, aquello es jiaozi.
包子好吃吗？	¿Los baozi están ricos?
包子和饺子都很好吃。	Tanto los baozi como los jiaozi están muy ricos.
